State,Federal Dollars Spent 
Alabama,0
Alaska,214468692
Arizona,2355054172
Arkansas,1656565282
California,20475215798
Colorado,1732709510
Connecticut,1385088937
Delaware,372491048
District of Columbia,422513294
Florida,0
Georgia,0
Hawaii,560996368
Idaho,0
Illinois,3634499892
Indiana,1937615456
Iowa,808214838
Kansas,0
Kentucky,2696088251
Louisiana,283303912
Maine,0
Maryland,2501101738
Massachusetts,1696014115
Michigan,3643609556
Minnesota,1516512759
Mississippi,0
Missouri,0
Montana,124866939
Nebraska,0
Nevada,1094466434
New Hampshire,405586665
New Jersey,2999723587
New Mexico,1492369725
New York,7638943035
North Carolina,0
North Dakota,301611835
Ohio,4419636455
Oklahoma,0
Oregon,2568967828
Pennsylvania,4637065452
Rhode Island,301318119
South Carolina,0
South Dakota,0
Tennessee,0
Texas,0
Utah,0
Vermont,221186382
Virginia,0
Washington,2337241113
West Virginia,804378516
Wisconsin,0
Wyoming,0
